Read_ID,Length,GC_Content,Average_Quality
SRR390728.191,36,44.44444444444444,24.583333333333332
SRR390728.192,36,50.0,22.083333333333332
SRR390728.193,36,41.66666666666667,24.833333333333332
SRR390728.194,36,41.66666666666667,24.61111111111111
SRR390728.195,36,38.88888888888889,24.52777777777778
SRR390728.196,36,41.66666666666667,23.63888888888889
SRR390728.197,36,36.11111111111111,24.833333333333332
SRR390728.198,36,41.66666666666667,24.36111111111111
SRR390728.199,36,41.66666666666667,24.63888888888889
SRR390728.200,36,27.77777777777778,25.0
SRR390728.201,36,30.555555555555557,24.194444444444443
SRR390728.202,36,30.555555555555557,23.63888888888889
SRR390728.203,36,41.66666666666667,24.88888888888889
SRR390728.204,36,27.77777777777778,23.27777777777778
SRR390728.205,36,47.22222222222222,23.194444444444443
SRR390728.206,36,47.22222222222222,24.944444444444443
SRR390728.207,36,47.22222222222222,24.666666666666668
SRR390728.208,36,47.22222222222222,24.61111111111111
SRR390728.209,36,52.77777777777778,23.11111111111111
SRR390728.210,36,55.55555555555556,23.02777777777778
SRR390728.211,36,47.22222222222222,22.22222222222222
SRR390728.212,36,50.0,23.694444444444443
SRR390728.213,36,58.333333333333336,23.38888888888889
SRR390728.214,36,36.11111111111111,24.86111111111111
SRR390728.215,36,66.66666666666666,24.11111111111111
SRR390728.216,36,72.22222222222221,23.97222222222222
SRR390728.217,36,27.77777777777778,22.805555555555557
SRR390728.218,36,50.0,22.305555555555557
SRR390728.219,36,47.22222222222222,23.083333333333332
SRR390728.220,36,47.22222222222222,24.833333333333332
SRR390728.221,36,55.55555555555556,23.583333333333332
SRR390728.222,36,30.555555555555557,24.833333333333332
SRR390728.223,36,52.77777777777778,24.166666666666668
SRR390728.224,36,47.22222222222222,24.055555555555557
SRR390728.225,36,58.333333333333336,24.805555555555557
SRR390728.226,36,25.0,19.444444444444443
SRR390728.227,36,55.55555555555556,20.333333333333332
SRR390728.228,36,36.11111111111111,24.0
SRR390728.229,36,52.77777777777778,24.36111111111111
SRR390728.230,36,52.77777777777778,24.305555555555557
SRR390728.231,36,41.66666666666667,16.916666666666668
SRR390728.232,36,47.22222222222222,24.194444444444443
SRR390728.233,36,52.77777777777778,19.88888888888889
SRR390728.234,36,58.333333333333336,23.36111111111111
SRR390728.235,36,58.333333333333336,23.555555555555557
SRR390728.236,36,63.888888888888886,23.694444444444443
SRR390728.237,36,63.888888888888886,24.444444444444443
SRR390728.238,36,36.11111111111111,24.86111111111111
SRR390728.239,36,36.11111111111111,24.77777777777778
SRR390728.240,36,47.22222222222222,23.444444444444443
SRR390728.241,36,30.555555555555557,21.694444444444443
SRR390728.242,36,55.55555555555556,24.36111111111111
SRR390728.243,36,52.77777777777778,24.833333333333332
SRR390728.244,36,55.55555555555556,24.77777777777778
SRR390728.245,36,55.55555555555556,24.47222222222222
SRR390728.246,36,27.77777777777778,24.61111111111111
SRR390728.247,36,58.333333333333336,23.27777777777778
SRR390728.248,36,66.66666666666666,19.75
SRR390728.249,36,63.888888888888886,22.61111111111111
SRR390728.250,36,33.33333333333333,24.305555555555557
SRR390728.251,36,33.33333333333333,24.305555555555557
SRR390728.252,36,36.11111111111111,24.36111111111111
SRR390728.253,36,33.33333333333333,24.88888888888889
SRR390728.254,36,47.22222222222222,24.944444444444443
SRR390728.255,36,50.0,24.305555555555557
SRR390728.256,36,16.666666666666664,25.083333333333332
SRR390728.257,36,11.11111111111111,24.88888888888889
SRR390728.258,36,27.77777777777778,24.166666666666668
SRR390728.259,36,47.22222222222222,24.36111111111111
SRR390728.260,36,27.77777777777778,24.22222222222222
SRR390728.261,36,36.11111111111111,23.88888888888889
SRR390728.262,36,30.555555555555557,24.88888888888889
SRR390728.263,36,30.555555555555557,24.52777777777778
